year,effect,equation,support,society,population,differences,action,response,culture,work,problem,number,political,gender,cultural,system,model,life,theory,association,general,status,human,process,state,effects,committee,variables,behavior,black,individual,area,values,labor,relations,poverty,sociology,women,children,time,racial,role,level,science,class,power,employment,control,ties,public,countries,world,race,marriage,organization,attendance,education,students,variable,inequality,members,health,educational,development,organizations,participation,problems,job,research,social,low,income,occupation,occupational,structure,group,mobility,changes,paperbound,data,analysis,city,church,rates,change,family,ethnic,movement,market,percent,cohort,rural,men,workers,religious,weber,economic,groups,urban,models,relationship,age,white,measures,sex,crime,interaction,people,school,persons,information,community,college,capital,foreign,parents,justice,neighborhood,investment
1950,0,0,0,1003,687,0,0,0,0,844,474,622,0,0,0,0,0,458,430,0,535,482,0,0,487,0,482,0,433,0,0,0,0,0,0,0,839,0,0,576,0,0,0,449,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,680,0,1164,3161,0,0,0,0,417,818,0,0,0,730,625,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,468,615,0,0,0,415,0,0,0,0,0,0,0,0,0,506,519,0,0,0,0,0,0
1951,0,0,0,1306,0,0,0,0,573,1114,0,626,0,0,0,0,0,566,577,530,585,0,534,0,524,0,0,0,677,0,0,0,0,0,525,0,1209,0,0,728,0,0,0,655,0,0,0,0,0,0,0,0,0,692,0,0,0,623,0,0,556,0,0,0,0,0,747,0,1821,4112,0,0,0,0,0,1458,0,0,0,658,666,0,0,0,0,701,0,0,0,0,0,0,610,0,0,0,557,891,0,0,0,584,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0
1952,0,0,0,995,850,0,0,0,0,906,0,955,0,0,0,0,0,520,759,0,694,703,0,0,502,0,0,0,722,0,549,0,0,0,521,0,1007,0,773,629,0,0,0,0,486,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,535,0,0,0,0,0,538,0,1455,3252,0,0,0,0,0,1548,0,0,0,887,865,0,0,0,0,1137,0,0,0,0,0,466,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0,529,0,0,0,692,465,0,0,0,0,0,0
1953,0,0,0,885,633,0,0,0,0,858,494,742,0,0,0,527,0,0,547,0,630,930,0,0,0,0,0,0,628,0,501,0,0,0,495,0,903,0,0,632,0,0,0,0,693,0,0,0,0,0,0,0,0,468,0,0,0,624,0,0,701,0,0,0,0,0,550,0,1398,3254,0,0,0,0,0,1341,0,0,0,867,620,0,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,834,0,0,0,509,0,0,0,0,0,0,0,0,479,603,574,0,0,0,0,0,0
1954,0,0,0,730,809,0,0,0,0,1018,497,791,0,0,0,0,0,0,705,0,626,767,0,0,0,0,0,0,673,0,630,0,0,0,504,0,887,0,0,613,0,632,0,604,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,0,0,0,0,0,671,0,1460,3424,0,0,0,0,466,2066,0,0,0,1005,676,0,0,0,490,767,0,0,0,0,0,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,0,0,0,0,573,0,609,486,0,0,0,0,0,0
1955,0,0,0,1120,836,0,0,0,0,1047,0,722,0,0,0,0,0,0,564,0,623,728,0,0,518,0,0,0,711,0,0,485,0,0,498,0,947,0,549,494,0,490,0,587,556,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,530,0,0,0,0,0,693,0,1490,3176,0,0,0,0,0,1126,0,0,0,1012,997,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,577,0,0,0,0,0,0,0,493,0,720,0,0,0,0,0,0,0
1956,0,0,0,1286,899,0,0,0,0,1140,0,781,566,0,0,0,0,707,680,0,697,949,0,0,639,0,573,0,725,0,0,0,0,0,561,0,1122,0,0,660,0,0,602,645,643,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,818,0,1881,4137,0,0,0,0,0,1251,0,0,0,917,1240,0,0,0,0,722,0,0,0,0,0,0,0,0,0,0,732,1001,0,0,0,0,0,0,0,0,0,555,0,0,0,734,0,0,0,0,0,0,0
1957,0,0,0,1206,835,528,0,0,0,990,0,686,0,0,0,0,0,571,895,547,604,739,0,0,552,0,524,0,593,0,0,0,0,0,520,0,1146,0,0,544,0,0,0,953,682,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,599,0,0,0,0,0,783,0,1735,3668,0,0,0,0,0,1102,0,0,0,1075,976,0,0,0,0,761,0,0,0,0,0,0,0,0,0,0,608,818,0,0,0,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,0
1958,0,0,0,1356,754,0,0,0,0,1077,0,592,627,0,0,0,0,562,818,0,690,851,0,0,602,0,0,0,584,0,0,0,0,0,0,0,1132,0,0,552,0,0,0,602,556,615,0,0,0,0,0,0,0,0,0,0,589,0,0,0,565,0,0,0,0,0,788,0,1628,3675,0,0,0,0,681,882,0,0,0,843,961,615,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,796,580,0,0,0,0,0,0
1959,0,0,0,1451,760,0,0,0,0,1431,0,0,786,0,0,629,0,716,1021,0,737,837,0,0,644,0,0,0,1040,0,0,0,670,0,570,0,1393,0,0,624,0,0,0,691,1006,0,0,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,940,0,1742,4432,0,0,0,0,753,958,0,0,0,993,1075,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,623,754,0,0,0,0,0,0,0,0,0,0,0,0,626,731,0,0,0,0,0,0,0
