year,labor,order,culture,number,durkheim,problems,workers,inequality,health,persons,network,alienation,work,sexual,organizations,change,differences,attainment,crime,industrial,status,support,problem,conditions,black,protest,government,participation,children,interaction,educational,models,movement,general,education,marriage,evidence,science,man,area,elite,attitudes,paperbound,relationship,parsons,pattern,union,poverty,population,arrest,world,mental,legal,conflict,law,industry,level,collective,job,central,democracy,state,ethnic,personality,model,age,business,structural,information,chicago,service,racial,people,poor,organization,action,theory,income,effects,patterns,edited,sociology,relations,mobility,organizational,data,variable,test,coefficients,attendance,point,family,urban,college,wage,sociologists,force,achievement,measures,employment,gender,analysis,period,society,percent,local,regression,women,hypothesis,findings,index,role,occupation,authority,war,capital,cultural,community,response,groups,changes,countries,race,variables,individual,human,measure,ties,students,suicide,rates,major,language,rural,development,association,religious,scientists,life,scores,national,occupational,field,firms,characteristics,networks,low,men,system,weber,members,historical,political,psychology,equation,economic,church,theoretical,values,jobs,committee,structure,time,school,value,white,market,social,city,welfare,blacks,effect,cohort,washington,exchange,class,authors,relative,control,process,group,scale,reader,distribution,actors,tax,sex,earnings,growth,power,behavior,medical,public,history,research,foreign,birth,hardship,violence,parents,investment,justice,neighborhood
1950,0,0,0,622,0,680,343,0,0,363,0,0,844,0,0,0,0,0,0,0,482,0,474,0,0,0,0,0,371,0,0,0,0,535,0,389,0,449,0,396,0,0,0,0,0,0,0,0,687,0,348,0,0,0,0,0,329,0,0,0,0,487,0,0,0,415,0,0,0,0,0,0,392,0,352,0,430,0,0,0,0,839,409,0,0,730,0,0,0,0,0,660,0,519,0,0,0,0,0,0,0,625,0,1003,0,0,0,0,0,0,0,0,0,0,382,0,0,506,0,615,0,0,0,0,371,367,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,372,0,0,0,0,0,362,0,502,0,349,0,0,468,0,0,0,0,482,417,576,0,0,0,0,3161,358,0,0,0,0,0,0,735,0,0,387,0,818,0,0,0,0,0,0,0,0,404,433,0,389,0,1164,0,0,0,0,0,0,0,0
1951,425,0,573,626,0,747,0,0,0,0,0,0,1114,0,0,0,0,0,0,0,424,0,418,427,0,0,0,0,430,0,0,0,0,585,0,692,0,655,0,0,0,0,0,0,0,0,0,0,476,0,461,0,0,0,0,0,0,0,0,0,0,524,0,0,0,584,0,0,478,0,0,0,507,0,0,0,577,0,0,0,0,1209,525,0,0,658,0,0,0,0,0,701,0,535,0,0,0,0,0,0,0,666,0,1306,0,0,0,439,0,0,0,0,0,0,0,0,457,444,0,891,0,0,0,0,519,534,0,0,623,0,0,0,0,0,0,530,0,0,566,0,0,0,505,0,0,0,0,610,0,0,556,0,441,449,0,557,0,0,476,0,418,0,728,0,0,0,0,4112,0,0,0,0,0,0,0,498,0,0,0,0,1458,0,0,0,0,0,0,0,0,0,677,0,415,0,1821,0,0,0,0,0,0,0,0
1952,0,0,442,955,0,538,0,0,0,461,0,0,906,0,0,451,458,0,0,0,703,0,385,0,0,0,0,0,773,0,0,0,0,694,0,464,0,438,0,419,0,428,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,414,0,0,0,0,0,0,529,0,0,0,759,0,0,0,0,1007,521,0,0,887,0,0,0,0,0,1137,452,465,0,0,0,0,0,0,0,865,0,995,0,0,0,413,0,0,0,0,0,0,0,0,0,692,0,935,0,0,0,0,549,0,0,0,442,0,0,0,0,466,0,0,0,0,520,0,0,0,0,0,0,0,0,385,395,0,535,0,0,0,0,438,0,0,0,0,0,393,629,402,0,0,0,3252,452,0,0,0,0,0,0,486,0,0,0,0,1548,418,0,0,0,0,0,0,0,0,722,0,461,0,1455,0,0,0,0,0,0,0,0
1953,0,0,450,742,0,550,0,0,0,427,0,0,858,0,0,0,0,0,0,0,930,0,494,384,0,0,0,0,0,0,0,0,0,630,0,468,0,467,0,461,0,0,0,0,0,393,0,0,633,0,0,0,0,0,0,0,382,0,0,0,0,403,0,0,0,509,0,0,479,0,436,0,440,0,372,0,547,0,0,0,0,903,495,0,0,867,0,0,0,0,0,910,388,574,0,0,0,0,0,0,0,620,0,885,0,0,0,371,0,0,0,402,0,0,0,0,371,603,0,834,0,0,0,0,501,0,0,0,624,0,0,0,0,0,0,440,0,0,403,0,0,0,380,0,0,0,0,0,527,0,701,0,0,0,0,452,0,0,0,0,0,397,632,0,0,0,0,3254,0,0,0,0,0,0,0,693,0,0,0,0,1341,0,0,0,0,0,0,0,0,0,628,0,0,0,1398,0,0,0,0,0,0,0,0
1954,0,0,0,791,0,671,0,0,0,573,0,0,1018,0,0,490,413,0,0,0,767,0,497,0,0,0,0,0,0,0,0,0,0,626,0,450,0,604,387,402,0,370,0,0,0,0,0,0,809,0,403,0,0,0,0,0,421,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,449,0,0,0,705,0,0,0,0,887,504,0,0,1005,0,443,0,0,0,767,0,486,0,0,0,0,0,0,0,676,0,730,0,0,0,0,0,0,0,632,0,0,0,0,0,609,0,1347,0,0,0,0,630,0,0,0,381,0,0,0,0,0,0,0,0,0,384,388,0,426,407,0,0,0,398,449,423,0,652,0,0,0,0,414,0,0,0,0,0,466,613,0,0,0,0,3424,418,0,0,0,0,0,0,649,0,0,0,0,2066,0,0,0,0,0,0,0,0,0,673,0,0,0,1460,0,0,0,0,0,0,0,0
1955,0,0,418,722,0,693,0,0,0,493,0,0,1047,0,0,415,0,0,0,0,728,0,0,0,0,0,0,0,549,0,0,0,0,623,507,0,0,587,0,485,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,470,0,0,0,0,518,0,405,0,577,0,0,424,398,0,0,468,0,435,0,564,0,0,0,0,947,498,476,0,1012,0,0,0,0,0,873,476,439,0,0,0,0,0,0,0,997,0,1120,0,0,0,0,0,0,0,490,0,0,0,0,0,720,0,870,0,0,0,0,0,441,0,0,407,0,0,0,0,0,0,0,0,0,451,0,0,450,420,0,0,0,0,0,0,0,530,0,0,0,0,462,0,0,0,0,0,455,494,421,0,0,0,3176,436,0,0,0,0,0,0,556,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,711,0,0,0,1490,0,0,0,0,0,0,0,0
1956,0,0,0,781,0,818,433,0,0,458,0,0,1140,0,0,498,512,0,0,0,949,0,438,0,0,0,0,0,433,0,0,0,0,697,632,0,0,645,0,503,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,602,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,555,0,0,0,680,0,0,0,0,1122,561,0,0,917,0,0,0,0,0,722,525,519,0,0,0,0,0,0,0,1240,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,1001,0,0,0,0,493,530,0,0,0,0,0,0,0,0,489,433,0,0,707,0,0,469,523,0,0,0,0,438,0,0,533,0,566,0,0,732,0,0,542,0,573,477,660,0,0,0,0,4137,0,0,0,0,0,0,0,643,0,0,0,0,1251,0,0,0,0,0,0,0,0,0,725,0,549,0,1881,0,0,0,0,0,0,0,0
1957,0,0,0,686,0,783,0,0,0,0,0,0,990,0,0,461,528,0,0,0,739,0,477,0,0,0,0,0,453,0,0,0,0,604,534,0,0,953,0,432,0,0,0,0,0,0,0,0,835,0,437,0,0,0,0,0,443,0,0,0,0,552,0,0,0,498,0,0,478,0,0,0,0,0,0,0,895,0,0,0,0,1146,520,0,0,1075,0,0,0,0,0,761,493,0,0,486,0,0,0,0,0,976,0,1206,0,0,0,0,0,0,0,473,0,0,0,0,0,696,0,818,0,0,0,435,0,0,0,0,519,0,0,0,0,512,480,547,0,0,571,0,0,500,0,0,0,0,0,0,477,0,599,0,518,0,0,608,0,0,433,0,524,0,544,450,0,0,0,3668,0,0,0,0,0,0,0,682,0,0,0,0,1102,0,0,0,0,0,0,0,0,0,593,0,0,0,1735,0,0,0,0,0,0,0,0
1958,0,0,422,592,0,788,0,0,429,429,0,0,1077,0,0,482,0,0,0,0,851,0,424,0,0,0,0,0,0,0,0,0,0,690,589,463,0,602,0,0,0,0,0,0,0,0,0,0,754,0,0,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,498,422,818,0,0,0,0,1132,514,0,0,843,0,0,0,0,0,714,490,580,0,0,0,0,0,0,0,961,0,1356,0,0,0,0,0,0,0,458,0,0,0,0,0,796,0,650,0,0,0,0,0,467,0,0,533,0,0,0,0,0,0,0,0,0,562,0,453,0,460,0,0,0,0,0,422,0,565,0,627,0,0,538,0,0,0,0,537,681,552,502,0,0,0,3675,615,0,0,0,0,0,0,556,0,0,0,0,882,0,0,0,0,0,0,0,0,615,584,0,526,0,1628,0,0,0,0,0,0,0,0
1959,451,0,0,563,0,940,510,0,0,0,0,0,1431,0,0,0,0,0,0,0,837,0,510,456,0,0,0,0,0,0,0,0,0,737,529,0,0,691,0,0,0,0,0,0,0,0,0,0,760,0,518,0,0,0,0,0,0,0,0,0,0,644,0,0,0,469,0,0,626,0,0,0,528,0,628,0,1021,0,0,0,0,1393,570,0,0,993,0,0,0,0,460,788,0,513,0,0,0,0,0,0,0,1075,0,1451,0,0,0,0,0,0,0,0,0,0,0,0,482,731,0,754,0,0,0,0,539,482,0,0,541,0,0,0,0,0,547,514,0,0,716,0,0,0,481,0,0,0,0,0,629,0,534,0,786,0,0,623,0,0,670,0,0,753,624,498,0,0,0,4432,0,0,0,0,0,0,0,1006,0,0,0,0,958,0,0,0,0,0,0,0,0,0,1040,0,0,0,1742,0,0,0,0,0,0,0,0
1960,0,0,555,620,0,827,0,0,0,0,0,0,1412,0,0,811,0,0,0,0,892,0,559,0,0,0,0,0,0,0,0,0,0,887,701,0,0,780,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,541,0,0,0,0,0,0,528,0,552,0,1061,0,0,0,0,1626,611,664,0,1060,0,0,0,0,0,1317,570,595,0,0,0,0,0,0,0,1156,0,1350,0,0,0,0,0,0,0,750,0,0,0,0,0,899,0,807,0,0,0,0,610,0,0,0,712,0,0,0,0,0,550,827,0,0,683,0,0,530,0,0,0,0,0,0,1151,0,692,0,758,0,0,691,0,0,568,0,0,755,799,594,0,0,0,4986,651,0,0,0,0,0,0,656,0,0,0,0,1355,0,0,0,0,0,0,0,0,589,670,0,599,0,1793,0,0,0,0,0,0,0,0
1961,0,0,0,721,0,833,0,0,0,0,0,0,1480,0,0,701,0,0,0,0,1011,0,0,0,0,0,0,0,545,0,0,0,0,732,629,0,0,694,515,0,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,0,580,0,0,637,0,0,0,0,0,746,0,943,0,0,0,0,1292,627,622,0,1087,0,0,0,0,0,1087,0,539,0,0,0,0,0,0,0,1143,0,1225,0,0,0,0,0,0,0,570,0,0,0,0,0,928,0,860,0,0,0,0,0,508,0,0,656,0,0,502,0,0,0,922,0,0,712,0,579,0,531,0,0,0,508,542,700,0,0,0,661,0,0,609,0,0,577,0,571,726,867,605,0,0,0,4236,0,0,0,0,0,0,0,911,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,829,514,0,0,1763,0,0,0,0,0,0,0,0
1962,0,0,0,830,0,803,0,0,0,574,0,0,1340,0,0,567,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,803,695,0,0,673,0,633,0,0,0,560,0,0,0,0,987,0,0,0,0,0,0,0,559,0,0,0,0,616,0,0,0,0,0,0,711,0,0,0,518,0,614,0,1148,0,0,0,0,1438,565,0,0,1275,0,0,0,0,0,778,525,0,0,0,0,593,0,0,0,1023,0,1199,0,0,0,0,0,569,0,0,0,0,0,0,0,976,0,880,0,0,0,653,0,0,0,0,619,0,0,0,0,0,581,1081,0,0,573,0,521,646,0,0,0,0,0,0,576,0,562,0,871,0,0,609,0,0,0,0,549,760,636,0,0,0,0,4583,610,0,0,0,0,0,0,654,0,0,0,0,1247,0,0,0,0,0,0,0,0,662,939,0,0,0,1975,0,0,0,0,0,0,0,0
1963,0,549,0,751,0,838,0,0,594,0,0,0,1550,0,0,821,596,0,0,0,1168,0,0,0,0,0,0,0,0,0,0,0,0,748,719,0,0,774,0,0,0,0,0,0,0,0,0,0,566,0,0,675,0,0,0,0,0,0,0,0,0,697,0,0,0,0,0,0,530,0,0,0,641,0,0,655,1192,0,0,0,0,1671,579,524,0,1116,0,0,0,0,0,934,0,735,0,552,0,0,0,0,0,1160,0,1328,0,0,0,0,0,0,0,689,0,0,0,0,0,787,0,1168,0,0,0,0,624,0,0,0,655,0,0,544,0,0,715,875,0,0,667,0,0,0,0,0,0,0,0,0,824,0,548,0,1145,0,0,602,0,0,645,0,628,664,738,720,0,0,0,5077,0,0,0,0,0,0,0,1008,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,839,0,0,0,1759,0,0,0,0,0,0,0,0
1964,0,0,583,683,0,956,0,0,0,0,0,0,1461,0,0,972,582,0,0,0,882,566,0,599,0,0,0,0,0,0,0,0,0,750,701,0,0,731,0,0,0,0,0,0,0,0,0,0,728,0,670,0,0,0,0,0,0,0,0,0,0,771,0,0,0,548,0,0,885,0,0,0,0,0,0,0,904,0,0,0,0,1535,675,0,0,1177,0,0,0,0,0,1110,604,907,0,0,0,0,0,0,0,1222,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,530,811,0,748,0,0,0,0,0,0,0,0,784,0,0,600,0,0,730,1206,556,0,753,0,614,0,0,0,0,0,0,0,732,0,0,0,1521,0,0,765,0,0,0,0,0,814,950,712,0,0,0,4658,631,0,0,0,0,0,0,733,0,0,0,0,756,0,0,0,0,0,0,0,0,776,763,0,0,570,1714,0,0,0,0,0,0,0,0
